"","X","if.bias","pi.bias","if2.bias","pi2.bias","delta"
"154",54,0.00799871436935767,-0.0185425970055868,-0.00747504129552156,-0.00435077466623301,1
"155",55,-0.00659098492626894,0.0103906665372253,0.045216258114109,0.0577028142179909,1
"156",56,0.0623567820065739,0.0458466136430616,0.0697385258832361,0.020545651160675,1
"157",57,-0.0431379879219036,0.0266561930514791,-0.0336342011662984,0.0671957970873652,1
"158",58,-0.0755851539802867,0.0130535182346494,-0.0539784300118927,0.0661737049381725,1
"159",59,0.10834344980057,-0.0102625544322394,0.101712691471039,0.000139567809113679,1
"160",60,-0.0235623202256813,-0.0334835151622662,0.024470778606651,0.023501300115414,1
"161",61,0.0453838677036816,0.0281367899648587,-0.0162940542375168,-0.00333878693992391,1
"162",62,0.214464428089995,0.0594792856613751,0.144864814777862,0.034311737987721,1
"163",63,-0.115485179461335,-0.0654104384353014,-0.0896203145849523,-0.0301494581409043,1
"164",64,0.0393795111899679,-0.0323372116090173,0.0294970814040207,-0.0360125861661605,1
"165",65,-0.153003986717585,-0.0941441951117034,-0.12007748059125,-0.035562842626161,1
"166",66,0.0324116904540136,-0.0643823717785485,0.109328892515305,0.00896459419236037,1
"167",67,0.1814389697412,-0.0214791572461666,0.122594951504592,-0.0189382086582198,1
"168",68,-0.161803004518278,-0.00408758843158216,-0.102997752181295,0.0328464473049806,1
"169",69,0.117739337996255,-0.0385141627833003,0.138893822223914,0.0433097442406333,1
"170",70,0.304412196785598,0.014824799407424,0.218880680592316,-0.000268455267308884,1
"171",71,0.017036647360567,-0.0111058340283181,-0.0182868883340133,-0.0187184165427745,1
"172",72,-0.0867080840898385,-0.0139281685357462,-0.122004581570512,-0.0293035268092991,1
"173",73,-0.00802112272040684,-0.0116733909570098,0.0391801585932951,0.0298856894899995,1
"174",74,0.15007228786133,0.019964346014464,0.127006780353165,0.0271295840940815,1
"175",75,-0.111007187693542,-0.0764613087620716,-0.0395695721614982,-0.016180564002699,1
"176",76,-0.00887420332854194,-0.0976274951657151,0.0204790794299734,-0.0396277784983233,1
"177",77,-0.0543309133698792,-0.0778323962886554,-0.0529120056980413,-0.0319845854613147,1
"178",78,0.0313197888712962,0.0560896597368685,0.0280657469601855,0.072082570454861,1
"179",79,0.0363283065371665,-0.00603030505140476,0.017399000683796,-0.00227834519392697,1
"180",80,-0.0505902880308079,-0.0607805722492757,-0.0629222443107294,-0.00929905200341902,1
"181",81,0.186439458455947,0.109750621847786,0.155796980492923,0.0922574199909667,1
"182",82,0.0543956939584888,-0.014582274330684,0.12141261026964,0.0668544510792298,1
"183",83,0.10228111203611,-0.0668126259825985,0.10466236020242,-0.0369430506142314,1
"184",84,-0.0151667763769237,-0.112392642167159,-0.00610825635724634,-0.0567761821866626,1
"185",85,-0.0219724778550674,-0.00988560237673231,-0.0273603013390659,0.0166883467352945,1
"186",86,0.00287607978481885,-0.0467173654185783,-0.0149283055171695,-0.0237414562505688,1
"187",87,-0.101160382940155,-0.0840235361040371,-0.055205784940793,-0.0317871406293851,1
"188",88,-0.0387673904979154,-0.0516064413453779,-0.0556130644051605,-0.0115123349615268,1
"189",89,0.0749241876045994,-0.0297169927176859,0.0865892250881177,0.0173792850731847,1
"190",90,-0.18665526916798,-0.0577709338619421,-0.209412027067988,-0.0525237778018845,1
"191",91,0.0177319735081307,0.0116739183657517,-0.0533513955888319,-0.00930559720277692,1
"192",92,-0.108944552497414,-0.0310274986462326,-0.0249873025096036,0.02833687297963,1
"193",93,0.108713866201583,-0.0301367632122314,0.127163356484524,0.0265696996426196,1
"194",94,-0.0512659034538595,-0.0656937684861897,0.0448505851473936,0.0200818546404396,1
"195",95,0.0723736533191573,0.00716880060213096,0.0499096500713605,-0.00837998254837736,1
"196",96,-0.192599838324625,-0.0434501829433762,-0.148250955404739,-0.00959631241359154,1
"197",97,-0.0162271803746152,-0.00432175382852745,0.0294895362187963,0.0563984293372275,1
"198",98,0.114802109633497,0.000547608925988874,0.0548336573694066,-0.00447852395708312,1
"199",99,-0.0709589787287481,-0.062798862018916,-0.0419770035494471,-0.0189315371486335,1
"200",100,-0.0209804341017232,-0.0359032147432224,0.00827368012247058,-0.0103940366464572,1
"201",1,0.0416987258249996,-0.0642907519077969,-0.0183810109749805,-0.0469517099182864,1.5
